GroupCode,UserId,ProbeBudget,AkonaHabitat,AkonaYN,EolaniH,EolaniYN,Jakala-TayH,Jakala-TayYN,KaylidH,KaylidYN,SylcariH,SylcariYN,WroftH,WroftYN,YNScore,SubmitYN
christine2017,p0Hm536WZbb9c7j7Xmzf8wMpk222,146040000,CALLISTO,1,IO,0,IO,1,MERCURY,0,EUROPA,0,TITAN,1,5,1
EM201701,g0BssFKNtyWRublLmzFbU1VA0Wx2,145975000,NEPTUNE,0,URANUS,0,VENUS,1,VENUS,1,EUROPA,0,TITAN,1,4,1
EM201705,0KJhskQ22aVCvClIxmSIZqDGus53,131485000,IO,0,NEPTUNE,0,VENUS,1,NEPTUNE,0,NEPTUNE,1,VENUS,1,3,1
carolina_carner201701,0PoB5xTTM0MNP5mY6qpSLtBS1453,132936000,TRITON,0,GANYMEDE,1,IO,1,PLUTO,0,EUROPA,0,TITAN,1,3,1
LB201702,67h7Tp0IvMMcBLdUo07BpcI2BAP2,152012000,SATURN,0,EARTH,0,EARTH,0,PLUTO,0,EUROPA,0,MOON,0,3,1
ML201705,AzDL2ILwPjg4H5IaPFfeq5li1932,157884000,PLUTO,0,MARS,0,VENUS,1,MARS,1,EUROPA,0,VENUS,1,3,1
EM201703,F83Ave1YthO4XcR4DI9kOz7k2dt2,152125000,CHARON,1,VENUS,0,PHOBOS,0,MARS,1,NEPTUNE,1,IO,0,3,1
courtney_boyd201701,MWPNh4CCtJWNYdo27zP50ybUUwG3,96216000,EUROPA,0,TITAN,0,VENUS,1,VENUS,1,NEPTUNE,1,MERCURY,0,3,1
rebecca_crossley201703,NEQI1SRhxzVfj0NVjhHIOQAciVv2,158935000,PLUTO,0,EARTH,0,MARS,0,VENUS,1,URANUS,1,JUPITER,0,3,1
christine2017,O7xr63jXCCQtLWPuPcBZc1VLJrt1,142751000,PLUTO,0,MERCURY,0,IO,1,VENUS,1,EUROPA,0,TITAN,1,3,1
Eric201706,SaFX8AbkXYQ3nxhLDI6ZgcXaM9h2,133556000,VENUS,0,MARS,0,VENUS,1,     ,0,URANUS,1,IO,0,3,1
micheal2017,Yu1ZMgp2ibdbkaBO1emOebRdpMg2,150137000,JUPITER,0,MERCURY,0,VENUS,1,EARTH,0,MARS,1,VENUS,1,3,1
ML201702,amrMfqE4GAhOUrXUE2Oo8jSWb8T2,149970000,EUROPA,0,TRITON,1,MARS,0,VENUS,1,NEPTUNE,1,MERCURY,0,3,1
AL201701,fZMZiTvZJehn5POekICAZ8DEtER2,158268000,MARS,0,JUPITER,0,VENUS,1,MARS,1,MARS,1,MARS,0,3,1
EM201702,gsCK1zalMCQENzG17SlRIfgz55x2,145446000,TRITON,0,CALLISTO,1,TRITON,0,MARS,1,     ,0,VENUS,1,3,1
EM201703,jgYenP9o8SVVSBWp4Yh3jErc5ou1,153710000,CHARON,1,NEPTUNE,0,PHOBOS,0,MARS,1,NEPTUNE,1,IO,0,3,1
ML201703,nYhwVUIGjggnWvYXiYBylfXqxLM2,154304000,PLUTO,0,MOON,0,IO,1,MARS,1,EUROPA,0,VENUS,1,3,1
christine2017,qbD2ci9I6STU8hRMgixwSCx0qtM2,154829000,MERCURY,0,EUROPA,0,IO,1,MARS,1,EUROPA,0,VENUS,1,3,1
ML201703,qrhENUSwL1WDw8FpKUrBTBMmIGB2,157130000,PLUTO,0,DEIMOS,1,IO,1,MERCURY,0,EUROPA,0,VENUS,1,3,1
christine2017,wyMIueApTPMTuuHTZLPWsffqrt72,146571000,CALLISTO,1,SATURN,0,IO,1,MERCURY,0,EUROPA,0,TITAN,1,3,1
